model,type,r2,mae,rmse,margin_of_error_95,accuracy,top2_accuracy,macro_f1,mean_confidence
price_class,classification,,,,,0.44670026626093573,0.729792696842906,0.37709635599576175,0.4259972658942912
owners,classification,,,,,0.6615406521429589,0.8281835872609047,0.43256387098007354,0.5994698201656525
review,regression,0.6870489480381149,15.570122206183381,22.53867941515427,44.175738626395024,,,,
