model,r2,mae,rmse,accuracy,macro_f1
price_class,,,,0.5988018257892734,0.4605330131563569
owners,,,,0.6655275523280649,0.4370113603453129
review,0.6963813535303829,15.12623602678204,22.20007687591444,,
