model,r2,mae,rmse,accuracy,macro_f1
price,0.3764153419547458,4.108428904082102,7.230561261949285,,
owners,,,,0.672789406236651,0.4423655691473864
review,0.697766095250053,14.945466946136,22.149394046640847,,
