model,r2,mae,rmse,accuracy,macro_f1
price_class,,,,0.4446557626473944,0.3795089425399722
owners,,,,0.7012672647016944,0.453228264066919
review,0.6949861019906263,15.202969615251439,22.25102761296286,,
